parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate	priorType	priorParameters	hierarchicalOptimization (optional
kd111	kd111	log10	-5.000000000000000	3.000000000000000	0.817565369559781	1			
kd112	kd112	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd113	kd113	log10	-5.000000000000000	3.000000000000000	2.250000144081290	1			
kd114	kd114	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd115	kd115	log10	-5.000000000000000	3.000000000000000	0.000000000000000	1			
kd116	kd116	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
kd117	kd117	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd118	kd118	log10	-5.000000000000000	3.000000000000000	-1.522878745280340	1			
kd119	kd119	log10	-5.000000000000000	3.000000000000000	-1.986678153888320	1			
kd120	kd120	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd123	kd123	log10	-5.000000000000000	3.000000000000000	-0.749999855918706	1			
kd123h	kd123h	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd15	kd15	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
kd17	kd17	log10	-5.000000000000000	3.000000000000000	-1.221848749616360	1			
kd18	kd18	log10	-5.000000000000000	3.000000000000000	0.113943352306837	1			
kd19	kd19	log10	-5.000000000000000	3.000000000000000	-0.301029995663981	1			
kd2	kd2	log10	-5.000000000000000	3.000000000000000	-0.795880017344075	1			
kd20	kd20	log10	-5.000000000000000	3.000000000000000	-0.397940008672038	1			
kd21	kd21	log10	-5.000000000000000	3.000000000000000	-0.638272163982407	1			
kd22	kd22	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd22b	kd22b	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd23	kd23	log10	-5.000000000000000	3.000000000000000	-1.221848749616360	1			
kd24	kd24	log10	-5.000000000000000	3.000000000000000	-0.259637310505756	1			
kd25	kd25	log10	-5.000000000000000	3.000000000000000	-1.669586226650810	1			
kd28	kd28	log10	-5.000000000000000	3.000000000000000	-2.275724130399210	1			
kd29	kd29	log10	-5.000000000000000	3.000000000000000	0.491361693834273	1			
kd2b	kd2b	log10	-5.000000000000000	3.000000000000000	-1.795880017344080	1			
kd32	kd32	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd33	kd33	log10	-5.000000000000000	3.000000000000000	-0.698970004336019	1			
kd34	kd34	log10	-5.000000000000000	3.000000000000000	-1.522878745280340	1			
kd35	kd35	log10	-5.000000000000000	3.000000000000000	-2.823908740944320	1			
kd36	kd36	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
kd37	kd37	log10	-5.000000000000000	3.000000000000000	-0.522878745280338	1			
kd4	kd4	log10	-5.000000000000000	3.000000000000000	-3.779891911959940	1			
kd40	kd40	log10	-5.000000000000000	3.000000000000000	-1.193820026016110	1			
kd41	kd41	log10	-5.000000000000000	3.000000000000000	-1.367542707815280	1			
kd42	kd42	log10	-5.000000000000000	3.000000000000000	-1.848970485522430	1			
kd43	kd43	log10	-5.000000000000000	3.000000000000000	1.500000321342940	1			
kd44	kd44	log10	-5.000000000000000	3.000000000000000	-1.736837535037780	1			
kd45	kd45	log10	-5.000000000000000	3.000000000000000	0.278753600952829	1			
kd47	kd47	log10	-5.000000000000000	3.000000000000000	-0.096910013008056	1			
kd48	kd48	log10	-5.000000000000000	3.000000000000000	-0.102372908709559	1			
kd49	kd49	log10	-5.000000000000000	3.000000000000000	-0.949283921460762	1			
kd5	kd5	log10	-5.000000000000000	3.000000000000000	-0.092411302690153	1			
kd50	kd50	log10	-5.000000000000000	3.000000000000000	-0.596910378345025	1			
kd52	kd52	log10	-5.000000000000000	3.000000000000000	-1.481486060122110	1			
kd53	kd53	log10	-5.000000000000000	3.000000000000000	-0.552841968657781	1			
kd55	kd55	log10	-5.000000000000000	3.000000000000000	1.846127957023060	1			
kd56	kd56	log10	-5.000000000000000	3.000000000000000	0.698970004336019	1			
kd57	kd57	log10	-5.000000000000000	3.000000000000000	-2.119186407719210	1			
kd58	kd58	log10	-5.000000000000000	3.000000000000000	1.754242807682440	1			
kd5b	kd5b	log10	-5.000000000000000	3.000000000000000	-2.092411302690150	1			
kd60	kd60	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
kd60b	kd60b	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
kd61	kd61	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
kd63	kd63	log10	-5.000000000000000	3.000000000000000	-0.560667306169737	1			
kd64	kd64	log10	-5.000000000000000	3.000000000000000	-0.522878745280338	1			
kd65	kd65	log10	-5.000000000000000	3.000000000000000	-0.698970004336019	1			
kd66	kd66	log10	-5.000000000000000	3.000000000000000	-0.698970004336019	1			
kd67	kd67	log10	-5.000000000000000	3.000000000000000	-1.698970004336020	1			
kd68	kd68	log10	-5.000000000000000	3.000000000000000	-0.698970004336019	1			
kd68b	kd68b	log10	-5.000000000000000	3.000000000000000	1.311753861055750	1			
kd69	kd69	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd6b	kd6b	lin	-5.000000000000000	3.000000000000000	0.000000000000000	1			
kd7	kd7	log10	-5.000000000000000	3.000000000000000	-3.860120913598760	1			
kd70	kd70	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd71	kd71	log10	-5.000000000000000	3.000000000000000	1.401400540781540	1			
kd72	kd72	log10	-5.000000000000000	3.000000000000000	0.699999797554582	1			
kd73	kd73	log10	-5.000000000000000	3.000000000000000	-0.301029995663981	1			
kd74	kd74	log10	-5.000000000000000	3.000000000000000	-0.448969860254725	1			
kd75	kd75	log10	-5.000000000000000	3.000000000000000	-2.197940198421170	1			
kd76	kd76	log10	-5.000000000000000	3.000000000000000	2.153088909963250	1			
kd8	kd8	log10	-5.000000000000000	3.000000000000000	-0.698970004336019	1			
kd8b	kd8b	log10	-5.000000000000000	3.000000000000000	-1.698970004336020	1			
kd94	kd94	log10	-5.000000000000000	3.000000000000000	-2.000000000000000	1			
kd95	kd95	log10	-5.000000000000000	3.000000000000000	1.518513939877890	1			
kd96	kd96	log10	-5.000000000000000	3.000000000000000	-1.000000000000000	1			
kd97	kd97	log10	-5.000000000000000	3.000000000000000	-1.823908740944320	1			
kd97c	kd97c	log10	-5.000000000000000	3.000000000000000	-3.000000000000000	1			
kd98	kd98	log10	-5.000000000000000	3.000000000000000	-3.000000000000000	1			
kd99	kd99	log10	-5.000000000000000	3.000000000000000	-0.301029995663981	1			
