observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.805	1		0.582	lin
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	58.581	1		26.46	lin
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.434	1		0.314	lin
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	8.666	1		4.91	lin
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.076	1		0.029	lin
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	25.221	1		8.8046	lin
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	5.72	1		2.756	lin
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	1.979	4		14.2662	lin
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.279	4		0.059	lin
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	65.495	4		12.518	lin
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.072	4		0.122	lin
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	7.934	4		2.794	lin
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.081	4		0.03	lin
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	20.577	4		6.0748	lin
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	3.583	4		1.448	lin
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	3.439	7		22.1867	lin
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.306	7		0.343	lin
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	74.238	7		21.427	lin
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0	7		0.15	lin
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	4.194	7		0.973	lin
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.037	7		0.018	lin
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	15.493	7		5.6113	lin
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	2.293	7		0.747	lin
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	6.76	14		27.8885	lin
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.21	14		0.142	lin
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	76.763	14		27.456	lin
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0	14		0.15	lin
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	3.582	14		1.744	lin
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.047	14		0.036	lin
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	11.696	14		4.5246	lin
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	0.942	14		0.617	lin
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	13.064	28		8.3665	lin
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.263	28		0.229	lin
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	64.666	28		7.627	lin
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0	28		0.15	lin
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	1.501	28		0.396	lin
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.037	28		0.017	lin
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	19.157	28		3.3912	lin
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	1.312	28		0.308	lin
FeOut	preequilibration_iron-rich	simulation_iron-rich	0.249	0.5		17.6799	lin
FePlasma	preequilibration_iron-rich	simulation_iron-rich	2.186	0.5		0.626	lin
FeRBC	preequilibration_iron-rich	simulation_iron-rich	7.22	0.5		2.139	lin
FeSpleen	preequilibration_iron-rich	simulation_iron-rich	0.699	0.5		0.483	lin
FeLiver	preequilibration_iron-rich	simulation_iron-rich	17.805	0.5		6.146	lin
FeGut	preequilibration_iron-rich	simulation_iron-rich	0.202	0.5		0.121	lin
FeRest	preequilibration_iron-rich	simulation_iron-rich	35.359	0.5		9.1161	lin
FeBM	preequilibration_iron-rich	simulation_iron-rich	36.28	0.5		13.656	lin
FeOut	preequilibration_iron-rich	simulation_iron-rich	0.498	1		10.8017	lin
FePlasma	preequilibration_iron-rich	simulation_iron-rich	0.397	1		0.207	lin
FeRBC	preequilibration_iron-rich	simulation_iron-rich	11.912	1		3.895	lin
FeSpleen	preequilibration_iron-rich	simulation_iron-rich	0.791	1		0.429	lin
FeLiver	preequilibration_iron-rich	simulation_iron-rich	32.613	1		6.293	lin
FeGut	preequilibration_iron-rich	simulation_iron-rich	0.215	1		0.073	lin
FeRest	preequilibration_iron-rich	simulation_iron-rich	39.419	1		6.3189	lin
FeBM	preequilibration_iron-rich	simulation_iron-rich	14.155	1		4.663	lin
FeOut	preequilibration_iron-rich	simulation_iron-rich	1.98	4		19.1365	lin
FePlasma	preequilibration_iron-rich	simulation_iron-rich	0.146	4		0.056	lin
FeRBC	preequilibration_iron-rich	simulation_iron-rich	27.992	4		2.862	lin
FeSpleen	preequilibration_iron-rich	simulation_iron-rich	0.755	4		0.108	lin
FeLiver	preequilibration_iron-rich	simulation_iron-rich	31.273	4		16.113	lin
FeGut	preequilibration_iron-rich	simulation_iron-rich	0.198	4		0.163	lin
FeRest	preequilibration_iron-rich	simulation_iron-rich	30.482	4		9.759	lin
FeBM	preequilibration_iron-rich	simulation_iron-rich	7.174	4		1.763	lin
FeOut	preequilibration_iron-rich	simulation_iron-rich	3.44	7		10.7541	lin
FePlasma	preequilibration_iron-rich	simulation_iron-rich	0.083	7		0.028	lin
FeRBC	preequilibration_iron-rich	simulation_iron-rich	42.013	7		6.363	lin
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.843	7		0.43	lin
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	17.409	7		5.914	lin
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.05	7		0.029	lin
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	30.322	7		5.9322	lin
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	5.84	7		2.193	lin
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	6.759	14		15.9765	lin
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.134	14		0.088	lin
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	51.145	14		11.19	lin
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.597	14		0.129	lin
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	14.736	14		9.756	lin
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.057	14		0.053	lin
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	19.187	14		5.3348	lin
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	7.385	14		2.523	lin
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	13.063	28		11.1035	lin
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.305	28		0.106	lin
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	44.3	28		8.961	lin
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	1.096	28		0.303	lin
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	18.488	28		5.145	lin
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.07	28		0.065	lin
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	17.332	28		3.8432	lin
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	5.346	28		1.28	lin
