observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	5.84	7.0		2.193
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	6.759	14.0		15.9765
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.134	14.0		0.08800000000000001
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	51.145	14.0		11.19
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	0.597	14.0		0.129
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	14.736	14.0		9.756
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.057	14.0		0.053
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	19.187	14.0		5.3348
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	7.385	14.0		2.523
FeOut	preequilibration_iron-deficient	simulation_iron-deficient	13.063	28.0		11.1035
FePlasma	preequilibration_iron-deficient	simulation_iron-deficient	0.305	28.0		0.106
FeRBC	preequilibration_iron-deficient	simulation_iron-deficient	44.3	28.0		8.961
FeSpleen	preequilibration_iron-deficient	simulation_iron-deficient	1.096	28.0		0.303
FeLiver	preequilibration_iron-deficient	simulation_iron-deficient	18.488	28.0		5.145
FeGut	preequilibration_iron-deficient	simulation_iron-deficient	0.07	28.0		0.065
FeRest	preequilibration_iron-deficient	simulation_iron-deficient	17.332	28.0		3.8432
FeBM	preequilibration_iron-deficient	simulation_iron-deficient	5.346	28.0		1.28
