parameterID	parameterName	parameterScale	lowerBound	upperBound	nominalValue	estimate
SOCS3RNAbasal_long1	SOCS3RNAbasal_long1	log10	-6	3	-2.99954177532293	0
SOCS3RNAdelay	SOCS3RNAdelay	log10	-3	3	-0.726362249099677	1
SOCS3RNAeqm	SOCS3RNAeqm	log10	-3	3	0	0
SOCS3RNAturn	SOCS3RNAturn	log10	-3	3	-1.21337039443928	1
SOCS3eqm	SOCS3eqm	log10	-3	5	1.97866574762319	1
SOCS3eqmOE	SOCS3eqmOE	log10	-3	3	0.241718370285359	1
SOCS3inh	SOCS3inh	log10	-3	3	0.892649395838672	1
SOCS3prom	SOCS3prom	log10	0	0.477121254719662	4.31257980369632e-14	1
SOCS3turn	SOCS3turn	log10	-3	4	3.99999999999996	1
STAT5actEPOR	STAT5actEPOR	log10	-3	3	0.249113591187081	1
STAT5actJAK2	STAT5actJAK2	log10	-3	3	-1.6168426202677	1
STAT5exp	STAT5exp	log10	-3	3	-0.999977827836237	1
STAT5imp	STAT5imp	log10	-3	3	-1.42501236763874	1
init_EpoRJAK2	init_EpoRJAK2	log10	-3	3	0.412279426996434	1
init_EpoRJAK2_H838	init_EpoRJAK2_H838	log10	-5	2	-0.751458545534465	1
init_PTP	init_PTP	log10	-3	3	1.42691961258937	1
init_STAT5	init_STAT5	log10	-3	3	1.88190685812059	1
nSTAT5deact	nSTAT5deact	log10	-5	3	-1.10258505333484	1
offset_CISRNA_CFUE	offset_CISRNA_CFUE	log10	-5	3	-0.0218787240700668	1
offset_CISRNA_H838	offset_CISRNA_H838	log10	-8	3	-0.508983978704946	1
offset_CIS_actd	offset_CIS_actd	log10	-3	3	-2.05634830035446	1
offset_CIS_long	offset_CIS_long	log10	-3	3	-1.63861788721791	1
offset_CIS_shp1oe	offset_CIS_shp1oe	log10	-3	3	-1.33197407420033	1
offset_CIS_socs3oe	offset_CIS_socs3oe	log10	-3	3	-1.06642873021058	1
offset_CishRNA_onlyActD	offset_CishRNA_onlyActD	log10	-5	3	0.730392798402475	1
offset_CishRNA_valCFUE	offset_CishRNA_valCFUE	log10	-5	3	-0.0408971603799768	0
offset_SOCS3RNA_CFUE	offset_SOCS3RNA_CFUE	log10	-5	3	-0.399805297666671	1
offset_SOCS3RNA_H838	offset_SOCS3RNA_H838	log10	-8	3	-0.880466282136642	1
offset_SOCS3RNA_onlyActD	offset_SOCS3RNA_onlyActD	log10	-5	3	0.707939157121398	1
offset_SOCS3RNA_valCFUE	offset_SOCS3RNA_valCFUE	log10	-5	3	0.00459839270586351	0
offset_SOCS3_ib_10	offset_SOCS3_ib_10	log10	-5	3	-0.145885115648783	1
offset_SOCS3_ib_13	offset_SOCS3_ib_13	log10	-8	3	-7.99999999999996	1
offset_SOCS3_long	offset_SOCS3_long	log10	-5	3	-4.99999999985091	1
offset_SOCS3_socs3oe	offset_SOCS3_socs3oe	log10	-3	3	-1.79604753925973	1
offset_pEpoR_actd	offset_pEpoR_actd	log10	-3	3	-1.74519456404819	1
offset_pEpoR_dr30	offset_pEpoR_dr30	log10	-3	3	-1.01747690439004	1
offset_pEpoR_dr7	offset_pEpoR_dr7	log10	-3	3	-1.69785741109447	1
offset_pEpoR_fine	offset_pEpoR_fine	log10	-3	3	-1.21080663906198	1
offset_pEpoR_ib_1	offset_pEpoR_ib_1	log10	-5	3	-0.803773746812308	1
offset_pEpoR_ib_11	offset_pEpoR_ib_11	log10	-5	3	-0.741846478793382	1
offset_pEpoR_ib_12	offset_pEpoR_ib_12	log10	-5	3	-1.15294566188186	1
offset_pEpoR_ib_2	offset_pEpoR_ib_2	log10	-5	3	-0.240949478086746	1
offset_pEpoR_ib_5	offset_pEpoR_ib_5	log10	-5	3	-0.92039195467953	1
offset_pEpoR_ib_6	offset_pEpoR_ib_6	log10	-5	3	-0.9176439499588	1
offset_pEpoR_ib_7	offset_pEpoR_ib_7	log10	-5	3	-0.76987731512153	1
offset_pEpoR_ib_cera1	offset_pEpoR_ib_cera1	log10	-5	3	-0.965120866296172	1
offset_pEpoR_ib_cera2	offset_pEpoR_ib_cera2	log10	-5	3	-1.12819038454152	1
offset_pEpoR_long	offset_pEpoR_long	log10	-3	3	-2.36691977936822	1
offset_pEpoR_shp1oe	offset_pEpoR_shp1oe	log10	-3	3	-1.52598029997397	1
offset_pEpoR_socs3oe	offset_pEpoR_socs3oe	log10	-3	3	-1.26060503633058	1
offset_pJAK2_actd	offset_pJAK2_actd	log10	-3	3	-1.76846908385819	1
offset_pJAK2_dr30	offset_pJAK2_dr30	log10	-3	3	-1.50399395825107	1
offset_pJAK2_dr7	offset_pJAK2_dr7	log10	-3	3	-1.45324551529375	1
offset_pJAK2_fine	offset_pJAK2_fine	log10	-3	3	-1.66167681065734	1
offset_pJAK2_ib_11	offset_pJAK2_ib_11	log10	-5	3	-0.495561060953171	1
offset_pJAK2_ib_12	offset_pJAK2_ib_12	log10	-5	3	-1.37542919472728	1
offset_pJAK2_ib_2	offset_pJAK2_ib_2	log10	-5	3	-0.318536743753284	1
offset_pJAK2_ib_3	offset_pJAK2_ib_3	log10	-5	3	-0.335649099635658	1
offset_pJAK2_ib_5	offset_pJAK2_ib_5	log10	-5	3	-0.843439123235615	1
offset_pJAK2_ib_7	offset_pJAK2_ib_7	log10	-5	3	-0.58353044696745	1
offset_pJAK2_ib_cera1	offset_pJAK2_ib_cera1	log10	-5	3	-0.66860512938293	1
offset_pJAK2_ib_cera2	offset_pJAK2_ib_cera2	log10	-5	3	-0.716226152113306	1
offset_pJAK2_long	offset_pJAK2_long	log10	-3	3	-2.02182423721184	1
offset_pJAK2_shp1oe	offset_pJAK2_shp1oe	log10	-3	3	-1.57372249045154	1
offset_pJAK2_socs3oe	offset_pJAK2_socs3oe	log10	-3	3	-1.22978978329903	1
offset_pSTAT5_actd	offset_pSTAT5_actd	log10	-3	3	-2.7290515093345	1
offset_pSTAT5_ib_1	offset_pSTAT5_ib_1	log10	-5	3	-0.753121929825834	1
offset_pSTAT5_ib_3	offset_pSTAT5_ib_3	log10	-5	3	-0.861089781180313	1
offset_pSTAT5_ib_4	offset_pSTAT5_ib_4	log10	-5	3	-0.721000036367275	1
offset_pSTAT5_ib_5	offset_pSTAT5_ib_5	log10	-5	3	-0.720660457773099	1
offset_pSTAT5_ib_6	offset_pSTAT5_ib_6	log10	-5	3	-0.557036714566885	1
offset_pSTAT5_ib_8	offset_pSTAT5_ib_8	log10	-5	3	-0.927081233404786	1
offset_pSTAT5_ib_9	offset_pSTAT5_ib_9	log10	-5	3	-2.02364998557637	1
offset_pSTAT5_ib_cera1	offset_pSTAT5_ib_cera1	log10	-5	3	-1.78750688152144	1
offset_pSTAT5_ib_cera2	offset_pSTAT5_ib_cera2	log10	-5	3	-1.69428849259005	1
offset_pSTAT5_long	offset_pSTAT5_long	log10	-5	3	-2.96155206811029	1
offset_pSTAT5_shp1oe	offset_pSTAT5_shp1oe	log10	-3	3	-1.24605191791666	1
offset_pSTAT5_socs3oe	offset_pSTAT5_socs3oe	log10	-3	3	-2.24787781112027	1
offset_tEpoR_ib_12	offset_tEpoR_ib_12	log10	-5	3	-1.23726479711531	1
offset_tSTAT5_ib_8	offset_tSTAT5_ib_8	log10	-5	3	-0.680881481976126	1
offset_tSTAT5_ib_9	offset_tSTAT5_ib_9	log10	-8	3	-7.99999999999996	1
scale1_CIS_dr90	scale1_CIS_dr90	log10	-3	3	1.11326304210347	1
scale2_CIS_dr90	scale2_CIS_dr90	log10	-3	3	1.07604097184915	1
scale_CISRNA_H838	scale_CISRNA_H838	log10	-5	3	2.39946119412802	1
scale_CISRNA_H838_long1	scale_CISRNA_H838_long1	log10	-5	5	2.91898865100616	0
scale_CISRNA_foldA	scale_CISRNA_foldA	log10	-3	3	1.47414330716487	1
scale_CISRNA_foldA_H838	scale_CISRNA_foldA_H838	log10	-5	3	2.54121015127309	1
scale_CISRNA_foldB	scale_CISRNA_foldB	log10	-3	3	1.46838768955803	1
scale_CISRNA_foldB_H838	scale_CISRNA_foldB_H838	log10	-5	3	2.36733585595642	1
scale_CISRNA_foldC	scale_CISRNA_foldC	log10	-3	3	1.25358044383642	1
scale_CISRNA_foldC_H838	scale_CISRNA_foldC_H838	log10	-5	3	2.35817764916534	1
scale_CIS_actd	scale_CIS_actd	log10	-3	3	1.06683536140808	1
scale_CIS_long	scale_CIS_long	log10	-3	3	1.13521245344791	1
scale_CIS_shp1oe	scale_CIS_shp1oe	log10	-3	3	1.68352523184289	1
scale_CIS_socs3oe	scale_CIS_socs3oe	log10	-3	3	1.26569937222262	1
scale_CishRNA_onlyActD	scale_CishRNA_onlyActD	log10	-5	8	4.81345904491785	1
scale_CishRNA_valCFUE	scale_CishRNA_valCFUE	log10	-5	5	2.42979082323177	0
scale_SHP1_shp1oe	scale_SHP1_shp1oe	log10	-3	3	-0.643765258269769	1
scale_SOCS3RNA_H838	scale_SOCS3RNA_H838	log10	-5	3	2.9999997776402	1
scale_SOCS3RNA_H838_long1	scale_SOCS3RNA_H838_long1	log10	-5	6	3.35571757890671	0
scale_SOCS3RNA_foldA	scale_SOCS3RNA_foldA	log10	-3	3	1.52632275656549	1
scale_SOCS3RNA_foldB	scale_SOCS3RNA_foldB	log10	-3	3	1.47159905799071	1
scale_SOCS3RNA_foldC	scale_SOCS3RNA_foldC	log10	-3	3	1.63476950006797	1
scale_SOCS3RNA_onlyActD	scale_SOCS3RNA_onlyActD	log10	-5	5	2.57990216397892	1
scale_SOCS3RNA_valCFUE	scale_SOCS3RNA_valCFUE	log10	-5	5	1.06701286394271	0
scale_SOCS3_ib_13	scale_SOCS3_ib_13	log10	-5	3	2.38246785895351	1
scale_SOCS3_long	scale_SOCS3_long	log10	-3	3	0.918202483162803	1
scale_SOCS3_socs3oe	scale_SOCS3_socs3oe	log10	-3	3	-0.317031316281903	1
scale_pEpoR_actd	scale_pEpoR_actd	log10	-3	3	-0.941862312808341	1
scale_pEpoR_dr30	scale_pEpoR_dr30	log10	-3	3	-0.650173856422999	1
scale_pEpoR_dr7	scale_pEpoR_dr7	log10	-3	3	-1.15651134398443	1
scale_pEpoR_fine	scale_pEpoR_fine	log10	-3	3	-1.35531973223883	1
scale_pEpoR_ib_1	scale_pEpoR_ib_1	log10	-5	3	-1.39025427969585	1
scale_pEpoR_ib_11	scale_pEpoR_ib_11	log10	-5	3	-2.0478239251831	1
scale_pEpoR_ib_12	scale_pEpoR_ib_12	log10	-5	3	-1.06392096417705	1
scale_pEpoR_ib_2	scale_pEpoR_ib_2	log10	-5	3	-1.67431807048079	1
scale_pEpoR_ib_5	scale_pEpoR_ib_5	log10	-5	3	-1.19781029492258	1
scale_pEpoR_ib_6	scale_pEpoR_ib_6	log10	-5	3	-1.12526185530599	1
scale_pEpoR_ib_7	scale_pEpoR_ib_7	log10	-5	3	-1.16635420512689	1
scale_pEpoR_ib_cera1	scale_pEpoR_ib_cera1	log10	-5	3	-1.1823281375089	1
scale_pEpoR_ib_cera2	scale_pEpoR_ib_cera2	log10	-5	3	-1.2141621114725	1
scale_pEpoR_long	scale_pEpoR_long	log10	-3	3	-0.877652308307979	1
scale_pEpoR_shp1oe	scale_pEpoR_shp1oe	log10	-3	3	-0.822011238249342	1
scale_pEpoR_socs3oe	scale_pEpoR_socs3oe	log10	-3	3	-0.406548430454055	1
scale_pJAK2_actd	scale_pJAK2_actd	log10	-3	3	-0.245799689456528	1
scale_pJAK2_dr30	scale_pJAK2_dr30	log10	-3	3	0.117080218059046	1
scale_pJAK2_dr7	scale_pJAK2_dr7	log10	-3	3	-0.351910710171854	1
scale_pJAK2_fine	scale_pJAK2_fine	log10	-3	3	-0.494391588929814	1
scale_pJAK2_ib_11	scale_pJAK2_ib_11	log10	-5	3	-1.38189005550609	1
scale_pJAK2_ib_12	scale_pJAK2_ib_12	log10	-5	3	-0.263359198390004	1
scale_pJAK2_ib_2	scale_pJAK2_ib_2	log10	-5	3	-1.04981133301503	1
scale_pJAK2_ib_3	scale_pJAK2_ib_3	log10	-5	3	-1.04684990596724	1
scale_pJAK2_ib_5	scale_pJAK2_ib_5	log10	-5	3	-0.55147497072981	1
scale_pJAK2_ib_7	scale_pJAK2_ib_7	log10	-5	3	-0.621070085982005	1
scale_pJAK2_ib_cera1	scale_pJAK2_ib_cera1	log10	-5	3	-0.528334573664586	1
scale_pJAK2_ib_cera2	scale_pJAK2_ib_cera2	log10	-5	3	-0.487014633728525	1
scale_pJAK2_long	scale_pJAK2_long	log10	-3	3	-0.197994519410514	1
scale_pJAK2_shp1oe	scale_pJAK2_shp1oe	log10	-3	3	0.251648656435347	1
scale_pJAK2_socs3oe	scale_pJAK2_socs3oe	log10	-3	3	0.0284547874424389	1
scale_pSTAT5_actd	scale_pSTAT5_actd	log10	-3	3	0.150822311904894	1
scale_pSTAT5_dr10	scale_pSTAT5_dr10	log10	-3	3	0.0858315867798032	1
scale_pSTAT5_ib_1	scale_pSTAT5_ib_1	log10	-5	3	1.31387814999085	1
scale_pSTAT5_ib_3	scale_pSTAT5_ib_3	log10	-5	3	1.38084393481209	1
scale_pSTAT5_ib_4	scale_pSTAT5_ib_4	log10	-5	3	1.13691531793733	1
scale_pSTAT5_ib_5	scale_pSTAT5_ib_5	log10	-5	3	1.18847709387001	1
scale_pSTAT5_ib_6	scale_pSTAT5_ib_6	log10	-5	3	0.240756970186146	1
scale_pSTAT5_ib_8	scale_pSTAT5_ib_8	log10	-5	3	0.365245894480597	1
scale_pSTAT5_ib_9	scale_pSTAT5_ib_9	log10	-5	3	0.531947919296711	1
scale_pSTAT5_ib_cera1	scale_pSTAT5_ib_cera1	log10	-5	3	0.270377441270462	1
scale_pSTAT5_ib_cera2	scale_pSTAT5_ib_cera2	log10	-5	3	0.295443977381947	1
scale_pSTAT5_long	scale_pSTAT5_long	log10	-3	3	0.23112971235732	1
scale_pSTAT5_shp1oe	scale_pSTAT5_shp1oe	log10	-3	3	0.176792208091692	1
scale_pSTAT5_socs3oe	scale_pSTAT5_socs3oe	log10	-3	3	0.363092785105561	1
scale_tEpoR_ib_12	scale_tEpoR_ib_12	log10	-5	3	-0.206238846340984	1
scale_tSTAT5_actd	scale_tSTAT5_actd	log10	-3	3	-0.0537919957144018	1
scale_tSTAT5_ib_8	scale_tSTAT5_ib_8	log10	-5	3	-0.154493511347278	1
scale_tSTAT5_ib_9	scale_tSTAT5_ib_9	log10	-5	3	-0.247929733073593	1
scale_tSTAT5_long	scale_tSTAT5_long	log10	-3	3	-0.0914442947443206	1
scale_tSTAT5_shp1oe	scale_tSTAT5_shp1oe	log10	-3	3	-0.139332369605685	1
sd_CIS_abs	sd_CIS_abs	log10	-3	3	-1.10816048838397	1
sd_CIS_au	sd_CIS_au	log10	-3	3	-0.856994117706918	1
sd_JAK2EpoR_au	sd_JAK2EpoR_au	log10	-3	3	-0.658538262937131	1
sd_JAK2EpoR_au_H838	sd_JAK2EpoR_au_H838	log10	-5	3	-0.903206536286474	1
sd_RNA	sd_RNA	log10	-5	3	-0.938760862619444	1
sd_RNA_H838	sd_RNA_H838	log10	-5	3	-1.04913771587355	1
sd_RNA_fold	sd_RNA_fold	log10	-3	3	-1.09743757752155	1
sd_RNA_fold_H838	sd_RNA_fold_H838	log10	-5	3	-1.12097736475007	1
sd_SHP1_abs	sd_SHP1_abs	log10	-3	3	-1.15120308239955	1
sd_SHP1_au	sd_SHP1_au	log10	-3	3	-1.07239532772497	1
sd_SOCS3_abs	sd_SOCS3_abs	log10	-3	3	-0.9518401505522	1
sd_SOCS3_au	sd_SOCS3_au	log10	-3	3	-0.747487051871669	1
sd_SOCS3_au_H838	sd_SOCS3_au_H838	log10	-5	3	-0.924669545701833	1
sd_STAT5_abs	sd_STAT5_abs	log10	-3	3	-0.880140524771721	1
sd_STAT5_au	sd_STAT5_au	log10	-3	3	-0.895287662020345	1
sd_STAT5_au_H838	sd_STAT5_au_H838	log10	-5	3	-0.821223990493818	1
sd_pSTAT5_rel	sd_pSTAT5_rel	log10	-3	3	0.487729871284366	1
sd_pSTAT5_rel_H838	sd_pSTAT5_rel_H838	log10	-5	0.698970004336019	-0.511505047269552	1
sd_pSTAT5_rel_H838EpoR	sd_pSTAT5_rel_H838EpoR	log10	-5	0.698970004336019	0.698970004335976	1
sd_pSTAT5_socs3oe	sd_pSTAT5_socs3oe	log10	-3	3	-0.353925786474318	1
sd_tSTAT5_au_H838	sd_tSTAT5_au_H838	log10	-5	3	-0.949369125918212	1
