observableId	simulationConditionId	measurement	time	observableParameters	noiseParameters
SOCS3_au	NaN	100	model1_data1	SOCS3RNAeqm;SOCS3eqm;SOCS3prom;init_STAT5;offset_SOCS3_long;scale_SOCS3_long;	sd_SOCS3_au
SOCS3_au	0	120	model1_data1	SOCS3RNAeqm;SOCS3eqm;SOCS3prom;init_STAT5;offset_SOCS3_long;scale_SOCS3_long;	sd_SOCS3_au
SOCS3_au	NaN	140	model1_data1	SOCS3RNAeqm;SOCS3eqm;SOCS3prom;init_STAT5;offset_SOCS3_long;scale_SOCS3_long;	sd_SOCS3_au
SOCS3_au	NaN	160	model1_data1	SOCS3RNAeqm;SOCS3eqm;SOCS3prom;init_STAT5;offset_SOCS3_long;scale_SOCS3_long;	sd_SOCS3_au
SOCS3_au	0	180	model1_data1	SOCS3RNAeqm;SOCS3eqm;SOCS3prom;init_STAT5;offset_SOCS3_long;scale_SOCS3_long;	sd_SOCS3_au
SOCS3_au	NaN	220	model1_data1	SOCS3RNAeqm;SOCS3eqm;SOCS3prom;init_STAT5;offset_SOCS3_long;scale_SOCS3_long;	sd_SOCS3_au
SOCS3_au	-0.0133420975969506	240	model1_data1	SOCS3RNAeqm;SOCS3eqm;SOCS3prom;init_STAT5;offset_SOCS3_long;scale_SOCS3_long;	sd_SOCS3_au
tSTAT5_au	-0.23638223504608	0	model1_data1	init_STAT5;scale_tSTAT5_long;	sd_STAT5_au
tSTAT5_au	0	5	model1_data1	init_STAT5;scale_tSTAT5_long;	sd_STAT5_au
tSTAT5_au	-0.164299242959636	10	model1_data1	init_STAT5;scale_tSTAT5_long;	sd_STAT5_au
tSTAT5_au	-0.248148116973255	20	model1_data1	init_STAT5;scale_tSTAT5_long;	sd_STAT5_au
tSTAT5_au	NaN	40	model1_data1	init_STAT5;scale_tSTAT5_long;	sd_STAT5_au
tSTAT5_au	-0.065581965397391	60	model1_data1	init_STAT5;scale_tSTAT5_long;	sd_STAT5_au
tSTAT5_au	-0.167295929306147	80	model1_data1	init_STAT5;scale_tSTAT5_long;	sd_STAT5_au
tSTAT5_au	-0.126338958119533	100	model1_data1	init_STAT5;scale_tSTAT5_long;	sd_STAT5_au
tSTAT5_au	-0.0584778472008498	120	model1_data1	init_STAT5;scale_tSTAT5_long;	sd_STAT5_au
tSTAT5_au	-0.193369241835168	140	model1_data1	init_STAT5;scale_tSTAT5_long;	sd_STAT5_au
tSTAT5_au	-0.153513804944323	160	model1_data1	init_STAT5;scale_tSTAT5_long;	sd_STAT5_au
tSTAT5_au	-0.0751112295179163	180	model1_data1	init_STAT5;scale_tSTAT5_long;	sd_STAT5_au
tSTAT5_au	-0.240428040611722	220	model1_data1	init_STAT5;scale_tSTAT5_long;	sd_STAT5_au
tSTAT5_au	-0.141014250062728	240	model1_data1	init_STAT5;scale_tSTAT5_long;	sd_STAT5_au
pSTAT5_au	-2.96272532435892	0	model1_data1	init_STAT5;offset_pSTAT5_long;scale_pSTAT5_long;	sd_STAT5_au
pSTAT5_au	0	5	model1_data1	init_STAT5;offset_pSTAT5_long;scale_pSTAT5_long;	sd_STAT5_au
pSTAT5_au	-0.0421106082218592	10	model1_data1	init_STAT5;offset_pSTAT5_long;scale_pSTAT5_long;	sd_STAT5_au
pSTAT5_au	-0.251698446666412	20	model1_data1	init_STAT5;offset_pSTAT5_long;scale_pSTAT5_long;	sd_STAT5_au
pSTAT5_au	NaN	40	model1_data1	init_STAT5;offset_pSTAT5_long;scale_pSTAT5_long;	sd_STAT5_au
pSTAT5_au	-0.407954070403955	60	model1_data1	init_STAT5;offset_pSTAT5_long;scale_pSTAT5_long;	sd_STAT5_au
pSTAT5_au	-0.772185698006647	80	model1_data1	init_STAT5;offset_pSTAT5_long;scale_pSTAT5_long;	sd_STAT5_au
pSTAT5_au	-0.786955622935778	100	model1_data1	init_STAT5;offset_pSTAT5_long;scale_pSTAT5_long;	sd_STAT5_au
pSTAT5_au	-0.712454537428883	120	model1_data1	init_STAT5;offset_pSTAT5_long;scale_pSTAT5_long;	sd_STAT5_au
pSTAT5_au	-0.914700204149184	140	model1_data1	init_STAT5;offset_pSTAT5_long;scale_pSTAT5_long;	sd_STAT5_au
pSTAT5_au	-0.897636958899707	160	model1_data1	init_STAT5;offset_pSTAT5_long;scale_pSTAT5_long;	sd_STAT5_au
pSTAT5_au	-0.535187779629362	180	model1_data1	init_STAT5;offset_pSTAT5_long;scale_pSTAT5_long;	sd_STAT5_au
pSTAT5_au	-1.06689403147387	220	model1_data1	init_STAT5;offset_pSTAT5_long;scale_pSTAT5_long;	sd_STAT5_au
pSTAT5_au	-0.559227992203621	240	model1_data1	init_STAT5;offset_pSTAT5_long;scale_pSTAT5_long;	sd_STAT5_au
STAT5_abs	1.7971518860719	0	model1_data2		sd_STAT5_abs
STAT5_abs	2.06903388541106	0	model1_data2		sd_STAT5_abs
STAT5_abs	1.8390635225805	0	model1_data2		sd_STAT5_abs
STAT5_abs	NaN	0	model1_data2		sd_STAT5_abs
STAT5_abs	NaN	10	model1_data2		sd_STAT5_abs
STAT5_abs	NaN	10	model1_data2		sd_STAT5_abs
STAT5_abs	NaN	10	model1_data2		sd_STAT5_abs
STAT5_abs	NaN	10	model1_data2		sd_STAT5_abs
STAT5_abs	NaN	120	model1_data2		sd_STAT5_abs
STAT5_abs	NaN	120	model1_data2		sd_STAT5_abs
STAT5_abs	NaN	120	model1_data2		sd_STAT5_abs
SHP1_abs	1.45384980416973	0	model1_data2		sd_SHP1_abs
SHP1_abs	1.48944839182453	0	model1_data2		sd_SHP1_abs
SHP1_abs	1.3374606408398	0	model1_data2		sd_SHP1_abs
SHP1_abs	NaN	0	model1_data2		sd_SHP1_abs
SHP1_abs	NaN	10	model1_data2		sd_SHP1_abs
SHP1_abs	NaN	10	model1_data2		sd_SHP1_abs
SHP1_abs	NaN	10	model1_data2		sd_SHP1_abs
SHP1_abs	NaN	10	model1_data2		sd_SHP1_abs
SHP1_abs	NaN	120	model1_data2		sd_SHP1_abs
SHP1_abs	NaN	120	model1_data2		sd_SHP1_abs
SHP1_abs	NaN	120	model1_data2		sd_SHP1_abs
CIS_abs	NaN	0	model1_data2		sd_CIS_abs
CIS_abs	NaN	0	model1_data2		sd_CIS_abs
CIS_abs	NaN	0	model1_data2		sd_CIS_abs
CIS_abs	NaN	0	model1_data2		sd_CIS_abs
CIS_abs	NaN	10	model1_data2		sd_CIS_abs
CIS_abs	NaN	10	model1_data2		sd_CIS_abs
CIS_abs	NaN	10	model1_data2		sd_CIS_abs
CIS_abs	NaN	10	model1_data2		sd_CIS_abs
CIS_abs	1.4633224345609	120	model1_data2		sd_CIS_abs
CIS_abs	1.41660002440178	120	model1_data2		sd_CIS_abs
CIS_abs	1.29341545080765	120	model1_data2		sd_CIS_abs
SOCS3_abs	NaN	0	model1_data2		sd_SOCS3_abs
SOCS3_abs	NaN	0	model1_data2		sd_SOCS3_abs
SOCS3_abs	NaN	0	model1_data2		sd_SOCS3_abs
SOCS3_abs	NaN	0	model1_data2		sd_SOCS3_abs
SOCS3_abs	NaN	10	model1_data2		sd_SOCS3_abs
SOCS3_abs	NaN	10	model1_data2		sd_SOCS3_abs
SOCS3_abs	NaN	10	model1_data2		sd_SOCS3_abs
SOCS3_abs	NaN	10	model1_data2		sd_SOCS3_abs
SOCS3_abs	1.09183655186437	120	model1_data2		sd_SOCS3_abs
SOCS3_abs	0.860675797377001	120	model1_data2		sd_SOCS3_abs
SOCS3_abs	1.06229006385732	120	model1_data2		sd_SOCS3_abs
pSTAT5B_rel	0.508	0	model1_data2		sd_pSTAT5_rel
pSTAT5B_rel	0.68458816509399	0	model1_data2		sd_pSTAT5_rel
pSTAT5B_rel	1.1471363132332	0	model1_data2		sd_pSTAT5_rel
pSTAT5B_rel	1.16093161443051	0	model1_data2		sd_pSTAT5_rel
pSTAT5B_rel	78.02	10	model1_data2		sd_pSTAT5_rel
pSTAT5B_rel	68.4474330326524	10	model1_data2		sd_pSTAT5_rel
pSTAT5B_rel	74.0541912811413	10	model1_data2		sd_pSTAT5_rel
pSTAT5B_rel	71.5513947378025	10	model1_data2		sd_pSTAT5_rel
pSTAT5B_rel	NaN	120	model1_data2		sd_pSTAT5_rel
pSTAT5B_rel	NaN	120	model1_data2		sd_pSTAT5_rel
pSTAT5B_rel	NaN	120	model1_data2		sd_pSTAT5_rel
SOCS3RNA_foldA	0.126391167328313	15	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldA;	sd_RNA_fold
SOCS3RNA_foldA	0.0973169664007758	30	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldA;	sd_RNA_fold
SOCS3RNA_foldA	0.722007050360782	60	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldA;	sd_RNA_fold
SOCS3RNA_foldA	0.558851550687899	120	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldA;	sd_RNA_fold
SOCS3RNA_foldA	0.596907124424304	240	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldA;	sd_RNA_fold
SOCS3RNA_foldA	0.525840484480999	360	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldA;	sd_RNA_fold
SOCS3RNA_foldB	0.159738446817551	15	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldB;	sd_RNA_fold
SOCS3RNA_foldB	0.19073099410733	30	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldB;	sd_RNA_fold
SOCS3RNA_foldB	0.663611071634608	60	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldB;	sd_RNA_fold
SOCS3RNA_foldB	0.593449277236272	120	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldB;	sd_RNA_fold
SOCS3RNA_foldB	NaN	240	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldB;	sd_RNA_fold
SOCS3RNA_foldB	0.35098329600732	360	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldB;	sd_RNA_fold
SOCS3RNA_foldC	0.0659908618179086	15	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldC;	sd_RNA_fold
SOCS3RNA_foldC	0.220909410740562	30	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldC;	sd_RNA_fold
SOCS3RNA_foldC	0.97798149820513	60	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldC;	sd_RNA_fold
SOCS3RNA_foldC	0.634514024782108	120	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldC;	sd_RNA_fold
SOCS3RNA_foldC	0.596907124424304	240	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldC;	sd_RNA_fold
SOCS3RNA_foldC	0.651759416813737	360	model1_data3	SOCS3RNAeqm;SOCS3prom;init_STAT5;offset_SOCS3RNA_CFUE;scale_SOCS3RNA_foldC;	sd_RNA_fold
CISHRNA_foldA	0.020264138113098	15	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldA;	sd_RNA_fold
CISHRNA_foldA	0.155010385467118	30	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldA;	sd_RNA_fold
CISHRNA_foldA	0.84984591256153	60	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldA;	sd_RNA_fold
CISHRNA_foldA	0.49302140277603	120	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldA;	sd_RNA_fold
CISHRNA_foldA	0.412612029445411	240	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldA;	sd_RNA_fold
CISHRNA_foldA	0.276477023342852	360	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldA;	sd_RNA_fold
CISHRNA_foldB	0.0239126343000076	15	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldB;	sd_RNA_fold
CISHRNA_foldB	0.16272675893774	30	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldB;	sd_RNA_fold
CISHRNA_foldB	0.737850290937661	60	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldB;	sd_RNA_fold
CISHRNA_foldB	0.558288777182175	120	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldB;	sd_RNA_fold
CISHRNA_foldB	NaN	240	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldB;	sd_RNA_fold
CISHRNA_foldB	0.337678772228885	360	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldB;	sd_RNA_fold
CISHRNA_foldC	0.0134926223445552	15	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldC;	sd_RNA_fold
CISHRNA_foldC	0.148287366326309	30	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldC;	sd_RNA_fold
CISHRNA_foldC	0.561700788051793	60	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldC;	sd_RNA_fold
CISHRNA_foldC	0.377848187787286	120	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldC;	sd_RNA_fold
CISHRNA_foldC	0.344469891560844	240	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldC;	sd_RNA_fold
CISHRNA_foldC	0.168301014629429	360	model1_data3	CISHRNAeqm;init_STAT5;offset_CISRNA_CFUE;scale_CISRNA_foldC;	sd_RNA_fold
pJAK2_au	-1.7308796578295	0	model1_data4	init_EpoRJAK2;offset_pJAK2_actd;scale_pJAK2_actd;	sd_JAK2EpoR_au
pJAK2_au	0	5	model1_data4	init_EpoRJAK2;offset_pJAK2_actd;scale_pJAK2_actd;	sd_JAK2EpoR_au
pJAK2_au	-0.125173906054675	10	model1_data4	init_EpoRJAK2;offset_pJAK2_actd;scale_pJAK2_actd;	sd_JAK2EpoR_au
pJAK2_au	-0.629491997973224	30	model1_data4	init_EpoRJAK2;offset_pJAK2_actd;scale_pJAK2_actd;	sd_JAK2EpoR_au
pJAK2_au	-1.08943162108336	60	model1_data4	init_EpoRJAK2;offset_pJAK2_actd;scale_pJAK2_actd;	sd_JAK2EpoR_au
pJAK2_au	-1.34237899079417	90	model1_data4	init_EpoRJAK2;offset_pJAK2_actd;scale_pJAK2_actd;	sd_JAK2EpoR_au
pJAK2_au	-1.44159496716153	120	model1_data4	init_EpoRJAK2;offset_pJAK2_actd;scale_pJAK2_actd;	sd_JAK2EpoR_au
pJAK2_au	-1.16405086027602	150	model1_data4	init_EpoRJAK2;offset_pJAK2_actd;scale_pJAK2_actd;	sd_JAK2EpoR_au
pJAK2_au	-1.12697623741661	180	model1_data4	init_EpoRJAK2;offset_pJAK2_actd;scale_pJAK2_actd;	sd_JAK2EpoR_au
pEpoR_au	-1.48034533279651	0	model1_data4	init_EpoRJAK2;offset_pEpoR_actd;scale_pEpoR_actd;	sd_JAK2EpoR_au
pEpoR_au	-0.0634103915969199	5	model1_data4	init_EpoRJAK2;offset_pEpoR_actd;scale_pEpoR_actd;	sd_JAK2EpoR_au
pEpoR_au	-0.0749410108886472	10	model1_data4	init_EpoRJAK2;offset_pEpoR_actd;scale_pEpoR_actd;	sd_JAK2EpoR_au
pEpoR_au	-0.896325341298159	30	model1_data4	init_EpoRJAK2;offset_pEpoR_actd;scale_pEpoR_actd;	sd_JAK2EpoR_au
pEpoR_au	-0.901401981487336	60	model1_data4	init_EpoRJAK2;offset_pEpoR_actd;scale_pEpoR_actd;	sd_JAK2EpoR_au
pEpoR_au	-1.27572413039921	90	model1_data4	init_EpoRJAK2;offset_pEpoR_actd;scale_pEpoR_actd;	sd_JAK2EpoR_au
pEpoR_au	-0.79953151712084	120	model1_data4	init_EpoRJAK2;offset_pEpoR_actd;scale_pEpoR_actd;	sd_JAK2EpoR_au
pEpoR_au	-1.00040990515729	150	model1_data4	init_EpoRJAK2;offset_pEpoR_actd;scale_pEpoR_actd;	sd_JAK2EpoR_au
pEpoR_au	-1.10166815424101	180	model1_data4	init_EpoRJAK2;offset_pEpoR_actd;scale_pEpoR_actd;	sd_JAK2EpoR_au
tSTAT5_au	-0.0796510075665507	0	model1_data4	init_STAT5;scale_tSTAT5_actd;	sd_STAT5_au
tSTAT5_au	-0.0470636403629587	5	model1_data4	init_STAT5;scale_tSTAT5_actd;	sd_STAT5_au
tSTAT5_au	-0.0657746040825623	10	model1_data4	init_STAT5;scale_tSTAT5_actd;	sd_STAT5_au
tSTAT5_au	-0.173750043240779	30	model1_data4	init_STAT5;scale_tSTAT5_actd;	sd_STAT5_au
tSTAT5_au	-0.133632820032796	60	model1_data4	init_STAT5;scale_tSTAT5_actd;	sd_STAT5_au
tSTAT5_au	-0.233747972916064	90	model1_data4	init_STAT5;scale_tSTAT5_actd;	sd_STAT5_au
tSTAT5_au	-0.0523278803553159	120	model1_data4	init_STAT5;scale_tSTAT5_actd;	sd_STAT5_au
tSTAT5_au	-0.166801183285451	150	model1_data4	init_STAT5;scale_tSTAT5_actd;	sd_STAT5_au
tSTAT5_au	-0.326655243470447	180	model1_data4	init_STAT5;scale_tSTAT5_actd;	sd_STAT5_au
pSTAT5_au	-2.71824455493804	0	model1_data4	init_STAT5;offset_pSTAT5_actd;scale_pSTAT5_actd;	sd_STAT5_au
pSTAT5_au	-0.0652667315125915	5	model1_data4	init_STAT5;offset_pSTAT5_actd;scale_pSTAT5_actd;	sd_STAT5_au
pSTAT5_au	-0.0249424220023924	10	model1_data4	init_STAT5;offset_pSTAT5_actd;scale_pSTAT5_actd;	sd_STAT5_au
pSTAT5_au	-0.319601235210433	30	model1_data4	init_STAT5;offset_pSTAT5_actd;scale_pSTAT5_actd;	sd_STAT5_au
pSTAT5_au	-0.768167029477043	60	model1_data4	init_STAT5;offset_pSTAT5_actd;scale_pSTAT5_actd;	sd_STAT5_au
pSTAT5_au	-1.08945832102097	90	model1_data4	init_STAT5;offset_pSTAT5_actd;scale_pSTAT5_actd;	sd_STAT5_au
pSTAT5_au	-0.734012753242737	120	model1_data4	init_STAT5;offset_pSTAT5_actd;scale_pSTAT5_actd;	sd_STAT5_au
pSTAT5_au	-0.882713284966559	150	model1_data4	init_STAT5;offset_pSTAT5_actd;scale_pSTAT5_actd;	sd_STAT5_au
pSTAT5_au	-0.936815065559769	180	model1_data4	init_STAT5;offset_pSTAT5_actd;scale_pSTAT5_actd;	sd_STAT5_au
CIS_au	-1.87851553247604	0	model1_data4	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_actd;scale_CIS_actd;	sd_CIS_au
CIS_au	-2.02869949975041	5	model1_data4	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_actd;scale_CIS_actd;	sd_CIS_au
CIS_au	-2.04980517018959	10	model1_data4	CISHRNAeqm;CISeqm;init_STAT5;offset_CIS_actd;scale_CIS_actd;	sd_CIS_au
